name_product,rating_product,rating count,price,product url
"DogLemi Dog Shammy Towels Glove, Quick Drying Dogs paw Towel, Chenille Microfiber Pet Dirty Dogs Grooming Mitt for Large Medium Small Pet, Super Absorbent, Machine Washable 2 Pack  ",4.1 out of 5 stars,114,15.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo2OTIwMDI1Nzk4MzYwNjI4OjE2NjgyNzc4MjU6c3BfYXRmX25leHQ6MjAwMDM3NDc1Mzg2Mjk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FDogLemi-Chenille-Microfiber-Grooming-Absorbent%2Fdp%2FB09N3LRDCN%2Fref%3Dsr_1_145_sspa%3Fkeywords%3DPet%26qid%3D1668277825%26sr%3D8-145-spons%26psc%3D1
"Furhaven Steady Paws Easy Multi-Step Pet Stairs for High Beds, Sofas, and Furniture for Small, Medium, and Large Dogs and Cats - Multiple Colors and Sizes  ",4.6 out of 5 stars,"9,669",64.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo2OTIwMDI1Nzk4MzYwNjI4OjE2NjgyNzc4MjU6c3BfYXRmX25leHQ6MjAwMDIxNzA2MDgxOTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FFurhaven-Steady-Multi-Step-Stairs-Sofas%2Fdp%2FB07ST7HVDL%2Fref%3Dsr_1_146_sspa%3Fkeywords%3DPet%26qid%3D1668277825%26sr%3D8-146-spons%26psc%3D1
Dog Car Seat Cover for Back Seat - Waterproof Durable Dog Hammock for Car with Mesh Window - Scratchproof Nonslip Pet Seat Covers for Cars Trucks and SUVs  ,4.7 out of 5 stars,20,26.98,https://amazon.com/sspa/click?ie=UTF8&spc=MTo2OTIwMDI1Nzk4MzYwNjI4OjE2NjgyNzc4MjU6c3BfYXRmX25leHQ6MjAwMDk3NjM0MDgxODk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FDog-Car-Seat-Cover-Back%2Fdp%2FB0BC4J1JN1%2Fref%3Dsr_1_147_sspa%3Fkeywords%3DPet%26qid%3D1668277825%26sr%3D8-147-spons%26psc%3D1
fuguitex Waterproof Dog Blanket Bed Anti-Slip Cover Fleece Lightweight Plush Fuzzy Cozy Plush Pet Blanket Throw Blanket for Couch Sofa  ,4.8 out of 5 stars,25,22.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo2OTIwMDI1Nzk4MzYwNjI4OjE2NjgyNzc4MjU6c3BfYXRmX25leHQ6MjAwMDk2Mzc3ODcwNzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2Ffuguitex-Waterproof-Blanket-Anti-Slip-Lightweight%2Fdp%2FB0BB94JBLS%2Fref%3Dsr_1_148_sspa%3Fkeywords%3DPet%26qid%3D1668277825%26sr%3D8-148-spons%26psc%3D1
Neater Pet Brands Neater Mat - Waterproof Silicone Pet Bowls Mat - Protect Floors from Food & Water  ,4.6 out of 5 stars,"1,107",18.99,https://amazon.com/Neater-Pet-Brands-Mat-Waterproof/dp/B092382X2X/ref=sr_1_149?keywords=Pet&qid=1668277825&sr=8-149
"Lint Rollers Value Pack of 450 Sheets / 5 Refills, Sticky Roller, Lint Remover for Dog, Cat, Pet Hair, Lint Rollers for Clothes, Carpet, Couch, Furniture, Car Seats  ",4.3 out of 5 stars,"12,432",14.99,https://amazon.com/Rollers-Refills-Remover-Clothes-Furniture/dp/B08XZQD28P/ref=sr_1_150?keywords=Pet&qid=1668277825&sr=8-150
Vip Pets  ,4.5 out of 5 stars,2,0.99,https://amazon.com/IT-gigi-and-more/dp/B098KK8C33/ref=sr_1_151?keywords=Pet&qid=1668277825&sr=8-151
"Lesure Plush Squeaky Dog Toys for Large Dogs - Durable Stuffed Dog Toys with Tough Rope and Crinkle Paper for Puppies, Small Medium Large Pets  ",4.1 out of 5 stars,340,15.99,https://amazon.com/Lesure-Plush-Squeaky-Toys-Large/dp/B0B129RDFD/ref=sr_1_152?keywords=Pet&qid=1668277825&sr=8-152
Ruff 'n Ruffus Portable Foldable Pet Playpen + Free Carrying Case + Free Travel Bowl | Available in 3 Sizes Indoor/Outdoor Water-Resistant Removable Shade Cover  ,4.3 out of 5 stars,"27,408",38.97,https://amazon.com/Ruff-Ruffus-Portable-Foldable-Collapsible/dp/B072BMNKXW/ref=sr_1_154?keywords=Pet&qid=1668277825&sr=8-154
"fiddo Dog Nail Grinder - Rechargeable Pet Nail Trimmer for Cat, Quiet Painless Electric Nail File for Large, Medium, Small Dogs and Cats  ",4.6 out of 5 stars,3,19.99,https://amazon.com/fiddo-Dog-Nail-Grinder-Rechargeable/dp/B0B3DHT3MQ/ref=sr_1_156?keywords=Pet&qid=1668277825&sr=8-156
Yes I Have Pets: Deal. With. It.  ,4.6 out of 5 stars,50,9.99,https://amazon.com/Yes-Have-Pets-Deal/dp/B09QP56V9Q/ref=sr_1_157?keywords=Pet&qid=1668277825&sr=8-157
"Furhaven Orthopedic, Cooling Gel, and Memory Foam Pet Beds for Small, Medium, and Large Dogs - Ergonomic Contour Luxe Lounger Dog Bed Mattress and More  ",4.5 out of 5 stars,"23,999",66.99,https://amazon.com/FurHaven-Pet-Orthopedic-Microvelvet-Lounger/dp/B01NAYIJ2H/ref=sr_1_159?keywords=Pet&qid=1668277825&sr=8-159
"Analan Mini Pet Hair Remover for Car Detailing Supplies, Carpet Dog Hair Remover for Car Interior, Triangle Dog Hair Remover for Auto Detailing, Couch, Furniture, Lint, Carpet  ",4.6 out of 5 stars,"9,436",15.99,https://amazon.com/ANALAN-Remover-Detailing-Fabric-Orange/dp/B08TWDMGGW/ref=sr_1_160?keywords=Pet&qid=1668277825&sr=8-160
"SEERWAY Scat Pet Shock Mat Indoor Upgraded, Safe Shock Training Pads for Dogs and Cats, Electric Repellent Zap Mat Keeps Pets Off Couch, Sofa, Counter, 3 Training Modes  ",4.2 out of 5 stars,"1,905",33.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo2OTIwMDI1Nzk4MzYwNjI4OjE2NjgyNzc4MjU6c3BfbXRmOjIwMDA1NDgxOTU3MTk5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FUpgraded-Training-Electric-Repellent-Operated%2Fdp%2FB094Y5XY8H%2Fref%3Dsr_1_161_sspa%3Fkeywords%3DPet%26qid%3D1668277825%26sr%3D8-161-spons%26psc%3D1
"Tomxcute Cat Water Fountain, 3.2L/108oz Automatic Stainless Steel Pet Fountain Dog Water Dispenser, Ultra-Quiet Pump and 3 Replacement Filters & for Cats, Dogs, Multiple Pets  ",4.5 out of 5 stars,"4,961",46.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo2OTIwMDI1Nzk4MzYwNjI4OjE2NjgyNzc4MjU6c3BfbXRmOjIwMDA4NDQyNTAyNzY5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FAutomatic-Stainless-Dispenser-Ultra-Quiet-Replacement%2Fdp%2FB09DSVFNRW%2Fref%3Dsr_1_162_sspa%3Fkeywords%3DPet%26qid%3D1668277825%26sr%3D8-162-spons%26psc%3D1
